,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,PRECTOTCORR,RH2M,WS2M,T2M_MAX,T2M_MIN,Biomass,Location
40,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_5.csv
41,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_5.csv
42,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_6.csv
43,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_6.csv
44,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_6.csv
45,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_6.csv
46,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_6.csv
47,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_6.csv
48,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_6.csv
49,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_7.csv
50,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_7.csv
51,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_7.csv
52,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_7.csv
53,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_7.csv
54,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_7.csv
55,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_7.csv
56,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_8.csv
57,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_8.csv
58,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_8.csv
59,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_8.csv
60,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_8.csv
61,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_8.csv
62,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_8.csv
63,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_9.csv
64,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_9.csv
65,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_9.csv
66,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_9.csv
67,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_9.csv
68,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_9.csv
69,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_9.csv
70,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_10.csv
71,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_10.csv
72,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_10.csv
73,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_10.csv
74,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_10.csv
75,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_10.csv
76,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_10.csv
77,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_11.csv
78,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_11.csv
79,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_11.csv
80,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_11.csv
81,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_11.csv
82,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_11.csv
83,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_11.csv
84,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_12.csv
85,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_12.csv
86,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_12.csv
87,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_12.csv
88,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_12.csv
89,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_12.csv
90,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_12.csv
91,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_13.csv
92,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_13.csv
93,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_13.csv
94,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_13.csv
95,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_13.csv
96,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_13.csv
97,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_13.csv
98,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_14.csv
99,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_14.csv
100,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_14.csv
101,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_14.csv
102,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_14.csv
103,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_14.csv
104,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_14.csv
105,"3315,68","24222,03","379,5","13002,68","165,18","4939,81","2962,13","107,5632985",Municipio_Aguada_Aptitud_Media_15.csv
106,"3401,04","23742,09","285,09","13333,45","177,55","4814,59","2905,65","106,2595805",Municipio_Aguada_Aptitud_Media_15.csv
107,"3296,36","24823,78","15,33","11164,15","177,63","5206,84","3066,08","112,3667938",Municipio_Aguada_Aptitud_Media_15.csv
108,"3305,24","23651,75","328,66","12097,13","186,05","5027,45","2973,28","124,8330366",Municipio_Aguada_Aptitud_Media_15.csv
109,"3281,67","24950,67","1112,09","14408,87","152,99","4467,69","2842,54","203,0927617",Municipio_Aguada_Aptitud_Media_15.csv
110,"3356,66","23912,63","766,92",14783,"166,62","4300,81","2726,55","139,6381908",Municipio_Aguada_Aptitud_Media_15.csv
111,"3366,48","24864,05","814,18","13809,31","157,65","4675,93","2951,38","181,0983947",Municipio_Aguada_Aptitud_Media_15.csv
112,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_16.csv
113,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_16.csv
114,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_16.csv
115,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_16.csv
116,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_16.csv
117,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_16.csv
118,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_16.csv
119,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_17.csv
120,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_17.csv
121,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_17.csv
122,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_17.csv
123,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_17.csv
124,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_17.csv
125,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_17.csv
126,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_18.csv
127,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_18.csv
128,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_18.csv
129,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_18.csv
130,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_18.csv
131,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_18.csv
132,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_18.csv
133,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Media_19.csv
134,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Media_19.csv
135,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Media_19.csv
136,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Media_19.csv
